gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000257379,35.77106916086035,-8.457996301349228,1.5634446628121148,-5.409846924889633,6.307864264947354e-08,0.0016396662370304152,ENSG00000257379
IGKC,290.1985094142889,-1.7083011477958097,0.35160211137260705,-4.858620277127555,1.182065913577888e-06,0.015363310678771811,IGKC
TCF7,60.59506507803832,-2.16337222771446,0.4547701506488838,-4.757067333086122,1.9642566611478303e-06,0.017019629216625566,TCF7
NDUFC2-KCTD14,20.315207452471313,-4.01795095441859,0.9312456743039258,-4.314598247580447,1.5989341370970875e-05,0.10390673489925423,NDUFC2-KCTD14
ZW10,627.3205796698207,-0.09186299036246005,0.24525773408749266,-0.3745569561924154,0.7079899902100872,0.9999967806651209,ZW10
ZUP1,265.7378425626011,-0.055261598579522786,0.18679998773421774,-0.29583298826630516,0.7673576289711826,0.9999967806651209,ZUP1
ZSWIM9,111.81707171179647,-0.04357098641965506,0.2453029382508591,-0.17762113544313596,0.8590205247987671,0.9999967806651209,ZSWIM9
ZSWIM8-AS1,19.196440960010957,0.3845537674037626,0.7765025519633082,0.49523825315378206,0.6204319512526197,0.9999967806651209,ZSWIM8-AS1
ZSWIM8,1011.5252241696613,-0.13071628075689387,0.2111261304399858,-0.6191383344377213,0.5358252313932399,0.9999967806651209,ZSWIM8
ZSWIM7,151.3691801510669,0.0825958458517109,0.1986022788499228,0.4158856903858885,0.6774936510135916,0.9999967806651209,ZSWIM7
ZSWIM6,348.8765308092152,-0.09522265542016785,0.21443968915864578,-0.44405331771265844,0.6570040361743553,0.9999967806651209,ZSWIM6
ZSWIM5,2.901410371787692,-0.5835198290248962,1.0222350340802944,-0.5708274609761241,0.5681166062168888,0.9999967806651209,ZSWIM5
ZSWIM4,91.40650584517368,-0.07887533246433631,0.40804773745704104,-0.19329927658927468,0.8467245928430852,0.9999967806651209,ZSWIM4
ZSWIM3,107.69430413572205,-0.04663106967962226,0.21584365775817033,-0.21604095373451915,0.8289558248051353,0.9999967806651209,ZSWIM3
ZSWIM1,173.82757089573406,-0.0697412742371451,0.2165916471870205,-0.32199429268352886,0.7474570182361859,0.9999967806651209,ZSWIM1
ZSCAN9,221.19813360257712,-0.053063061181792166,0.18362167730844645,-0.28898037508206176,0.7725963955797703,0.9999967806651209,ZSCAN9
ZSCAN5A-AS1,13.26663377085864,0.09416302651908168,0.5577754778032481,0.16881887115212535,0.8659391143398409,0.9999967806651209,ZSCAN5A-AS1
ZSCAN5A,99.39424502895358,0.054082460338979635,0.25491711760759667,0.21215703694810625,0.8319845232867391,0.9999967806651209,ZSCAN5A
ZSCAN4,4.837118667091469,0.8816254065411254,1.1163178039586894,0.7897620224408345,0.4296667620845629,0.9999967806651209,ZSCAN4
ZSCAN32,348.35628944206496,0.024372111759324393,0.1635357144021011,0.14903234959061187,0.8815281067205882,0.9999967806651209,ZSCAN32
AAR2,591.4342144877286,0.04576802890938307,0.19055014858299463,0.24018889121699472,0.8101838251761407,0.9999967806651209,AAR2
AAMP,857.5003844810589,-0.004891296737065757,0.15958372142432617,-0.03065034887900635,0.9755483883923217,0.9999967806651209,AAMP
AAMDC,126.27174890238678,0.154476376934226,0.23235636956664385,0.6648252304093583,0.5061622831448263,0.9999967806651209,AAMDC
AAK1,1407.6571788751583,-0.18113407159563025,0.15315729397457015,-1.1826669621474593,0.2369411626438832,0.9999967806651209,AAK1
AAGAB,902.4590470295929,-0.0537451488851816,0.21304924164067537,-0.2522663233686938,0.8008352165652798,0.9999967806651209,AAGAB
AADAT,11.002531153968121,0.25658669365608894,0.6402931992719949,0.40073312343130413,0.6886166210558162,0.9999967806651209,AADAT
AADACP1,1.5551981720874006,-0.7902625592307229,1.8309162417461893,-0.43162136050365163,0.6660166310168676,0.9999967806651209,AADACP1
AACS,752.0499579813295,0.08531063176551534,0.21628657118940137,0.3944333265647322,0.6932611429330376,0.9999967806651209,AACS
AAAS,444.5003272923834,0.03961436726034688,0.14466682449518956,0.27383173300844893,0.7842139359283393,0.9999967806651209,AAAS
A4GALT,20.93698780821928,0.17371394855870143,0.5641101951899796,0.3079432884566082,0.7581254858227668,0.9999967806651209,A4GALT
A2ML1,8.34412487196809,-0.0704905205518289,0.6542471565050096,-0.1077429528748577,0.9141995963444237,0.9999967806651209,A2ML1
A2M-AS1,13.76294583426984,0.49334716610239154,0.6015328695494981,0.8201499719738851,0.4121306174980637,0.9999967806651209,A2M-AS1
A2M,92.37205461274716,0.17755366920120574,0.3709185014518006,0.47868647292127087,0.6321616904739924,0.9999967806651209,A2M
A1BG-AS1,104.21479685977116,-0.17450503009109275,0.21651957226112883,-0.8059549918223313,0.42026880121189414,0.9999967806651209,A1BG-AS1
A1BG,94.67117832101832,0.2750265414745063,0.2263642463457782,1.2149734152556713,0.2243762309948233,0.9999967806651209,A1BG
ZWILCH,626.0285166759475,0.00015638320235348877,0.21682649658768663,0.0007212365869235265,0.9994245365124985,0.9999967806651209,ZWILCH
ABCB7,531.9733455638788,-0.03744022683384294,0.16570417118175465,-0.2259461941532912,0.8212432689497072,0.9999967806651209,ABCB7
ABCB6,97.67421775298193,-0.017555003113783076,0.24534744759932936,-0.07155160278028122,0.9429587566828064,0.9999967806651209,ABCB6
ABCB5,8.655166953181334,0.4389915728174016,0.7822558217090917,0.5611867123702347,0.5746702602784624,0.9999967806651209,ABCB5
ABCB4,8.39438525914699,-0.13825334519173935,0.7339438800782663,-0.18837045848382344,0.8505862558549208,0.9999967806651209,ABCB4
ABCB11,14.703696410733283,0.35805973694276694,0.5687486758450084,0.6295570471628543,0.5289844336233105,0.9999967806651209,ABCB11
ABCB10,1775.121191717145,-0.061084416127458026,0.22888367341371618,-0.2668797438297207,0.7895617532453557,0.9999967806651209,ABCB10
ABCB1,869.9112216486318,-0.4134386263953292,0.30574525850287837,-1.352232340150704,0.17630100108368485,0.9999967806651209,ABCB1
ABCA9,17.79642796115844,0.0833934973709716,0.4740404951015292,0.17592061908784928,0.8603563062835632,0.9999967806651209,ABCA9
ABCA8,9.167648783262434,0.7138399794892812,0.6620440191689121,1.0782364296340754,0.280928258361418,0.9999967806651209,ABCA8
ABCA7,1378.9977794650013,-0.05583222738335073,0.24034482163399734,-0.23230052140825128,0.8163046074893858,0.9999967806651209,ABCA7
ABCA6,10.727801636411998,0.023241818444943548,0.5865932870903539,0.0396216918202877,0.9683947334445259,0.9999967806651209,ABCA6
ABCA5,319.26537224202707,-0.11371361111447878,0.19333300774569548,-0.5881748411220825,0.5564149425893251,0.9999967806651209,ABCA5
ABCA3,167.73977921135776,-0.0240449171567845,0.2008416526882361,-0.11972076924754804,0.9047043472130162,0.9999967806651209,ABCA3
ABCA2,3109.0054717731205,0.1561180731249618,0.23777587559316912,0.6565765880811113,0.5114532067474309,0.9999967806651209,ABCA2
ABCA17P,13.929581053296715,0.3173049142932885,0.5193843396272584,0.6109250704805727,0.5412491866717404,0.9999967806651209,ABCA17P
ABCA15P,18.928859534820393,0.25115213180240364,0.4414389029889239,0.5689397334532277,0.5693970396326975,0.9999967806651209,ABCA15P
ABCD3,1265.3086241297374,0.0421044966096706,0.19626417675414037,0.21452970840631191,0.830134002244248,0.9999967806651209,ABCD3
ABCD2,5.36358252669161,-0.906197211664046,0.9812474799501761,-0.9235154537263719,0.35573865075836675,0.9999967806651209,ABCD2
ABCD1,235.6982295061232,0.08350011131588497,0.1874366947087998,0.44548433510103286,0.6559697778488334,0.9999967806651209,ABCD1
ABCC9,21.729915589500166,-0.22516510102985218,0.5305595926749584,-0.4243917255262919,0.6712801542343332,0.9999967806651209,ABCC9
ABCC8,11.165773417469449,-0.1736546233773778,0.5469490276309398,-0.3174969048387326,0.7508665876648966,0.9999967806651209,ABCC8
ABCC6,4.054626643310981,0.8567352547719431,1.254552411602018,0.6829011262095646,0.49466932226258253,0.9999967806651209,ABCC6
ABCC5,1640.8509906125953,-0.0885985825332895,0.13917223705652731,-0.6366110397241339,0.5243782324386088,0.9999967806651209,ABCC5
ABCC4,5922.530206088419,-0.15845091901187436,0.18162206805268022,-0.8724210703619729,0.3829787099645334,0.9999967806651209,ABCC4
ABCC3,118.23253462840776,-0.09709875505876615,0.38318768465986197,-0.25339737926326167,0.7999611526345063,0.9999967806651209,ABCC3
ABCC2,38.65777884857455,-0.19575933692794342,0.3103887372905238,-0.630690851210599,0.5282426821901199,0.9999967806651209,ABCC2
ABCC13,6.607756867714141,0.4006210796412548,0.8705261882879264,0.46020566070408603,0.6453686082243092,0.9999967806651209,ABCC13
ABCC11,5.746514168786332,0.3605823243207447,0.7425364651248021,0.4856089111531239,0.6272444771642107,0.9999967806651209,ABCC11
ABCC10,415.469682003074,-0.05250931070611311,0.17380986686565228,-0.30210776668220224,0.7625699119592599,0.9999967806651209,ABCC10
ABCC1,2411.5374670406754,-0.10489271581143883,0.192069884135663,-0.5461174524234673,0.5849852038446508,0.9999967806651209,ABCC1
ABCB9,83.9164762582112,0.09993233149783708,0.30684946183536455,0.3256721745578757,0.7446723989288133,0.9999967806651209,ABCB9
ABCB8,361.7863368087036,0.0570138255437772,0.1676368490094155,0.3401031806591339,0.733778826585934,0.9999967806651209,ABCB8
ABHD14A,122.48955473077585,0.21724517268891716,0.21262283834100956,1.0217395947865873,0.30690416567183876,0.9999967806651209,ABHD14A
ABHD13,462.05193107834486,0.09924252802279301,0.20155008921231293,0.4923963487718971,0.6224391799516025,0.9999967806651209,ABHD13
ABHD12B,3.9434038689595687,-0.16751608843475438,0.9636976869718795,-0.17382638839896108,0.8620019051525152,0.9999967806651209,ABHD12B
ABHD12,479.9848699472909,0.039081462227525794,0.1523196710882929,0.25657527979345507,0.7975066601614458,0.9999967806651209,ABHD12
ABHD11,130.01902040995932,0.0858381068920055,0.20187778849907198,0.4251983714018151,0.6706920713107003,0.9999967806651209,ABHD11
ABHD10,548.1081679762362,0.04623702405222279,0.17124375337635292,0.27000706969208293,0.7871548147159696,0.9999967806651209,ABHD10
ABHD1,15.032490400984168,-0.6279862298375197,0.49699548107353286,-1.26356527121945,0.20638610523849354,0.9999967806651209,ABHD1
ABCG8,10.946617023016419,-0.45319260483415363,0.6126519678246427,-0.7397227604496479,0.45946823460191377,0.9999967806651209,ABCG8
ABCG2,26.723039669168323,-0.11387765629768486,0.5527607790639528,-0.20601616578246687,0.8367782836938158,0.9999967806651209,ABCG2
ABCG1,282.77131035074456,0.08129529936424607,0.1817915183716981,0.4471897264097134,0.6547380785388335,0.9999967806651209,ABCG1
ABCF3,585.2573123746247,-0.08445676337097621,0.18306134728907608,-0.46135770670150666,0.6445419895508109,0.9999967806651209,ABCF3
ABCF2-H2BK1,389.4896647115495,-0.012600589777158756,0.33486502336095614,-0.03762886207311173,0.9699835956059384,0.9999967806651209,ABCF2-H2BK1
ABCF2,849.6447610161425,0.05207550058847736,0.2680682436626714,0.19426210235482994,0.8459706582640857,0.9999967806651209,ABCF2
ABCF1,1718.3509747843964,0.02695530390115561,0.16928636047891207,0.15922903549287076,0.873488428670598,0.9999967806651209,ABCF1
ABCE1,1338.685851452853,0.19308190399475397,0.3029764665826475,0.6372835031465525,0.5239401945359409,0.9999967806651209,ABCE1
ABCD4,904.8179355847649,-0.057371942439287574,0.16457399904471925,-0.34860878858329286,0.7273830288555326,0.9999967806651209,ABCD4
ABI1,1291.5747139154953,-0.018038695049807027,0.13600570595451097,-0.13263189895753583,0.8944845035632333,0.9999967806651209,ABI1
ABHD8,76.52464354375677,0.2798033759985503,0.2800573131927141,0.9990932670485593,0.31774951246107275,0.9999967806651209,ABHD8
ABHD6,172.1175666587879,0.009608020046761258,0.2059539381326032,0.04665130530582594,0.9627911407924793,0.9999967806651209,ABHD6
ABHD5,350.04721462621706,-0.08353987814179105,0.2125814860100229,-0.39297814550911675,0.6943356229068399,0.9999967806651209,ABHD5
ABHD4,292.509614015578,-0.0025411608132590562,0.22509934469495413,-0.01128906357636331,0.9909928217838075,0.9999967806651209,ABHD4
ABHD3,278.0458791847425,-0.024591663625701022,0.21047136704902938,-0.11684089845804245,0.9069861334127287,0.9999967806651209,ABHD3
ABHD2,2413.4194460642198,-0.1035470378585822,0.140840281959254,-0.7352089644959602,0.4622122402970378,0.9999967806651209,ABHD2
ABHD18,517.5732870179669,0.005490777005819699,0.15779138903323905,0.03479769738678869,0.9722410567402955,0.9999967806651209,ABHD18
ABHD17C,154.67666283035555,0.25590896641216465,0.2151249018596045,1.189583187255452,0.23421025717423372,0.9999967806651209,ABHD17C
ABHD17B,547.2368471279068,-0.057015417801243286,0.14634209239506427,-0.38960368044571064,0.6968296301918832,0.9999967806651209,ABHD17B
ABHD17AP5,5.289416347214477,-0.4969215698873292,1.210787455621154,-0.41041189151765717,0.681503824553315,0.9999967806651209,ABHD17AP5
ABHD17A,496.16333517353024,0.17812282812624056,0.17831508063748194,0.9989218381835452,0.31783255632934404,0.9999967806651209,ABHD17A
ABHD16A,374.8378861460501,0.03330709008047458,0.1524615810081676,0.2184621847696193,0.8270690189125767,0.9999967806651209,ABHD16A
ABHD15,178.71450203774268,-0.025275881191718055,0.2223137833474412,-0.113694620329572,0.9094798772239582,0.9999967806651209,ABHD15
ABHD14B,883.7535059978685,0.08573916510401217,0.19307529735951598,0.44407112808616583,0.6569911598012823,0.9999967806651209,ABHD14B
ABHD14A-ACY1,29.618218620697885,-1.103610711954112,0.5771280531283802,-1.91224582823843,0.05584467050864344,0.9999967806651209,ABHD14A-ACY1
ABTB1,352.6037968958235,0.06890217239278501,0.3626599728254804,0.18999111442040004,0.849316093382576,0.9999967806651209,ABTB1
ABT1,469.8181408115219,0.1651418504687707,0.16507363195056293,1.0004132611453547,0.3171105549903144,0.9999967806651209,ABT1
ABRAXAS2,460.6745930518555,0.1623572220701386,0.22986009122509676,0.7063306257507131,0.4799825521596365,0.9999967806651209,ABRAXAS2
ABRAXAS1P2,4.3629211548205635,-0.577728998439061,0.9390404865953884,-0.6152333224030537,0.5384006444863291,0.9999967806651209,ABRAXAS1P2
ABRAXAS1,435.96315004368705,0.0387514198949284,0.19405590937453518,0.19969203730939575,0.841721441655872,0.9999967806651209,ABRAXAS1
ABRACL,1018.1366761872652,0.11197039383513323,0.161203051638498,0.6945922716539493,0.48731085688987763,0.9999967806651209,ABRACL
ABR,942.9628806181236,-0.03174551125898239,0.17342214095137728,-0.18305339263389064,0.8547561250598955,0.9999967806651209,ABR
ABO,305.9315128789909,0.06723146406338672,0.2610931201274269,0.25749994496436485,0.7967928577841117,0.9999967806651209,ABO
ABLIM2,1.5838593526742104,0.5418992190584501,1.4157978815257284,0.38275182222654175,0.7019037863836145,0.9999967806651209,ABLIM2
ABLIM1,1473.4733127061165,-0.16566846253788303,0.1642060834002109,-1.0089057549354488,0.3130198349575063,0.9999967806651209,ABLIM1
ABL2,634.6414395606987,-0.16805469060371644,0.17114502848957672,-0.981943162982099,0.32612784983243437,0.9999967806651209,ABL2
ABL1,1195.2735005407326,-0.050671232858997585,0.16380550949780884,-0.30933778121593275,0.7570645940813578,0.9999967806651209,ABL1
ABITRAM,192.89377180969103,0.027812219913977042,0.27838776056335357,0.09990460736382743,0.920420058506924,0.9999967806651209,ABITRAM
ABI3BP,22.593423679693387,-0.17670421220440263,0.4820534179443959,-0.36656562452749825,0.7139430535209308,0.9999967806651209,ABI3BP
ABI3,171.0544324574654,0.060797339664303944,0.290340004511524,0.20940049156020046,0.8341356090606186,0.9999967806651209,ABI3
ABI2,667.4597935455265,-0.016264353900514155,0.15745642390953457,-0.10329431786065915,0.9177293851880122,0.9999967806651209,ABI2
ACADSB,617.0263019145934,-0.20686200164611854,0.1724226085766945,-1.1997382672360233,0.2302410061127551,0.9999967806651209,ACADSB
ACADS,145.61011326790555,0.1621066457187705,0.2675386134998309,0.6059186881405924,0.5445687490632005,0.9999967806651209,ACADS
ACADM,984.0665403998921,0.03416732166256412,0.16395873090329294,0.20838976658532987,0.8349246460242175,0.9999967806651209,ACADM
ACADL,43.34586783377914,-0.45386620589952387,0.3272133618485203,-1.387065012674012,0.16542193946833628,0.9999967806651209,ACADL
ACAD9-DT,51.9436069219861,-0.1489008983790349,0.27786997734663205,-0.5358653705624583,0.5920515991309776,0.9999967806651209,ACAD9-DT
ACAD9,899.5399970314588,0.12560099994746968,0.14490174869720943,0.8668011330210301,0.386050981208656,0.9999967806651209,ACAD9
ACAD8,740.1079091108351,-0.021745047459634185,0.14631105631649458,-0.14862203860107548,0.8818518818587668,0.9999967806651209,ACAD8
